No.;Phrases;Type
1;Harry ate six shrimp at dinner.;activo
2;My grandfather built this house in 1943.;activo
3;Beautiful giraffes roam the savannah;activo
4;The savannah is roamed by beautiful giraffes;pasivo
5;Sue changed the flat tire;activo
6;The flat tire was changed by Sue;pasivo
7;We are going to watch a movie tonight;activo
8;A movie is going to be watched by us tonight;pasivo
9;I ran the obstacle course in record time;activo
10;The obstacle course was run by me in record time;pasivo
11;The crew paved the entire stretch of highway;activo
12;The entire stretch of highway was paved by the crew;pasivo
13;Mom read the novel in one day;activo
14;The novel was read by Mom in one day;pasivo
15;The critic wrote a scathing review;activo
16;A scathing review was written by the critic;pasivo
17;I will clean the house every Saturday;activo
18;The house will be cleaned by me every Saturday;pasivo
19;The staff is required to watch a safety video every year;activo
20;A safety video will be watched by the staff every year;pasivo
21;She faxed her application for a new job;activo
22;The application for a new job was faxed by her;pasivo
23;Tom painted the entire house;activo
24;The entire house was painted by Tom;pasivo
25;The teacher always answers the students questions;activo
26;The students’ questions are always answered by the teacher;pasivo
27;The choir really enjoys that piece;activo
28;That piece is really enjoyed by the choir;pasivo
29;Who taught you to ski? ;activo
30;By whom were you taught to ski? ;pasivo
31;The forest fire destroyed the whole suburb. ;activo
32;The whole suburb was destroyed by the forest fire. ;pasivo
33;The two kings are signing the treaty. ;activo
34;The treaty is being signed by the two kings. ;pasivo
35;The cleaning crew vacuums and dusts the office every night. ;activo
36;Every night the office is vacuumed and dusted by the cleaning crew. ;pasivo
37;Larry generously donated money to the homeless shelter. ;activo
38;Money was generously donated to the homeless shelter by Larry. ;pasivo
39;No one responded to my sales ad. ;activo
40;My sales ad was not responded to by anyone. ;pasivo
41;The wedding planner is making all the reservations. ;activo
42;All the reservations will be made by the wedding planner. ;pasivo
43;Susan will bake two dozen cupcakes for the bake sale. ;activo
44;Yam is eaten by people in my country ;pasivo
45;The science class viewed the comet. ;activo
46;The comet was viewed by the science class. ;pasivo
47;Who ate the last cookie? ;activo
48;The last cookie was eaten by whom? ;pasivo
49;Alex posted the video on Facebook. ;activo
50;The video was posted on Facebook by Alex. ;pasivo
51;The director will give you instructions. ;activo
52;Instructions will be given to you by the director. ;pasivo
53;Thousands of tourists view the Grand Canyon every year. ;activo
54;The Grand Canyon is viewed by thousands of tourists every year. ;pasivo
55;The homeowners remodeled the house to help it sell. ;activo
56;The house was remodeled by the homeowners to help it sell. ;pasivo
57;The team will celebrate their victory tomorrow. ;activo
58;The victory will be celebrated by the team tomorrow. ;pasivo
59;The saltwater eventually corroded the metal beams. ;activo
60;The metal beams were eventually corroded by the saltwater. ;pasivo
61;The kangaroo carried her baby in her pouch. ;activo
62;The baby was carried by the kangaroo in her pouch. ;pasivo
63;Some people raise sugar cane in Hawaii. ;activo
64;Sugar cane is raised by some people in Hawaii. ;pasivo
65;The hunter killed the lion.;activo
66;The lion was killed by the hunter.;pasivo
67;Someone has cleaned the windows;activo
68;The windows have been cleaned;pasivo
69;I gave him a book for his birthday;activo
70;He was given a book for his birthday.;pasivo
71;Someone sent her a cheque for a thousand euros;activo
72;She was sent a cheque for a thousand euros.;pasivo
73;They called off the meeting.;activo
74;The meeting was called off.;pasivo
75;His grandmother looked after him.;activo
76;He was looked after by his grandmother.;pasivo
77;They will send him away to school;activo
78;He will be sent away to school.;pasivo
79; I write a letter;activo
80;A letter is written by me;pasivo
81;The girl was washing the dog.;activo
82;The dog was being washed by the girl.;pasivo
83;The fox ate pancakes.;activo
84;Pancakes were eaten by the fox.;pasivo
85;He is eating dinner.;activo
86;Dinner is being eaten by him.;pasivo
87;Today the fox took a test.;activo
88;Today a test was taken by the fox.;pasivo
89;The boy is picked up by her mother every day;pasivo
90;The mother avery day picked the boy;activo
91;The wall has been painted blue;pasivo
92;someone painted in blue  the wall;activo
93;Many foxes can speak Spanish.;activo
94;Spanish is spoken by many foxes.;pasivo
95;I made the cookies.;activo
96;The cookies were made by me.;pasivo
97;Very few people own pet foxes;activo
98;Pet foxes are owned by very few people.;pasivo
99;You can cook popcorn on the stove.;activo
100;Popcorn can be cooked on the stove.;pasivo
101;The dog burned the popcorn;activo
102;The popcorn was burned by the dog;pasivo
103;The dog bit my hand;activo
104;My hand was bitten by the dog;pasivo
105;Many friends visited the fox’s cozy home;activo
106;The fox’s cozy home was visited by many of his friends;pasivo
107;Mauricio has dinked his coke early;activo
108;The coke was drunk early by Mauricio;pasivo
109;Alberto has ridden the brown horse;activo
110;The brown horse was ridden by Alberto;pasivo
111;Carlos kicked the soccer ball;activo
112;The black ball was kicked by Carlos;pasivo
113;The child used his toy all afternoon;activo
114;The toy was used by the child all afternoon;pasivo
115;Someone built those walls;activo
116;Those walls were built;pasivo
117;John bathed the dog;activo
118;The dog was bathed by John;pasivo
119;They used the car all day;activo
120;The car was used all day;pasivo
121;Maria sent the message yesterday;activo
122;The message was sent yestarday by Maria;pasivo
123;The man must have drunk six beers;activo
124;Six beers must have drunk by the man;pasivo
125;Picasso was painting Guernica at that time.;activo
126;The cleaner has cleaned the office.;activo
127;He had written three books before 1867.;activo
128;People speak Portuguese in Brazil.;activo
129;They finished the work today;activo
130;The work was finished today;pasivo
131;The mother bathed her baby;activo
132;The baby was bathed by his mother;pasivo
133;They picked the apple yesterday;activo
134;The apples were picked yesterday;pasivo
135;I had cleaned all the windows before the storm.;activo
136;The breads were baked this morning;pasivo
137;He took her money;activo
138;Her money was taken;pasivo
139;They activated the levers;activo
140;The levers were activated by them;pasivo
141;He manufactured the rings last month;activo
142;The rings were manufactured last month;pasivo
143;The doctor looked after the patients;pasivo
144;Those barbecue ribs were eaten by you;activo
145;You ate those barbecue ribs;pasivo
146;You developed the program yesterday;activo
147;The program was developed yesterday;pasivo
148;The scouts washed the flags;activo
149;The flags were washed by the scouts;pasivo
150;Harry ate six shrimp at dinner;activo
151;James might cook dinner.;activo
152;My uncle raise sugar cane in Hawaii;activo
